global_ordinal,source_sha256,output_sha256,output_pixel_sha256,base_crop_pixel_sha256,transform_decision,deskew_correction_degrees,crop_left,crop_top,crop_right_exclusive,crop_bottom_exclusive,source_width,source_height,output_width,output_height,detector_confidence
224,f0805f92108fe1615f9f43d60c87a5a24bf2b424cf600ccfeb7beff306face60,835b8536af3c5a2b20ad0125236ce99504bfdbd3534ba57d523adb7fbd012aec,d515206183331411fc6db8d006ca225ac113dd7fd325ec0e05f0ab2be01f1860,d515206183331411fc6db8d006ca225ac113dd7fd325ec0e05f0ab2be01f1860,preserve,0.0,120,80,1509,1299,1594,1361,1389,1219,0.9924999999999999
225,a295b0fea0ce7943efac1eac32f9f6f07f8c889679bd68222394f29855715ca5,008d187b8c98755233f445786d2e67e1fed7f41071419a2381d87a762e6bb6a1,38d8c82ff091bf96ac764e74cb0519929ea8f0d189e25f27dda48b8082ab022f,38d8c82ff091bf96ac764e74cb0519929ea8f0d189e25f27dda48b8082ab022f,preserve,0.0,116,78,1513,1303,1594,1361,1397,1225,0.9924999999999999
226,af98eb8ddc1c35c0d6d00ce257ab10de7c18d20e22cf04f2f8e92a4f89ae00de,6221009084ef6171647a519585885e67927f7da2a8ae83567f58f0281feb8323,b16870f5d435f90b708537c6101b75d90178896e70dd1455e09a9c57f919c50b,b16870f5d435f90b708537c6101b75d90178896e70dd1455e09a9c57f919c50b,preserve,0.0,122,79,1531,1307,1642,1361,1409,1228,0.9924999999999999
227,4a71eacf1e9135a51e9718660229146f807100b4a0d10692493695878f73ef2c,f69a4b7150cd0fe266e3c4ed570581a50b2ccca02f8345e3fd014e7f252a9211,83b69d379a0154eb954db56b1e90172422e4e963ba081a89c384bdb3e4c5be09,83b69d379a0154eb954db56b1e90172422e4e963ba081a89c384bdb3e4c5be09,preserve,0.0,103,74,1506,1278,1546,1361,1403,1204,0.9924999999999999
228,f951601e5967831733fb0b5ebf1b273ff91909ca640a487f40d7c69887082cfe,19f844c5f08f0003af635bcc09c99575dc1fdd25ec0b725380b543934a892a49,1da7e75da57fd48f69df8254d6e4065b832d20c334ae7f0adfc601432e1ab187,1da7e75da57fd48f69df8254d6e4065b832d20c334ae7f0adfc601432e1ab187,preserve,0.0,111,75,1513,1279,1546,1361,1402,1204,0.9924999999999999
229,a5d1965d2a92f3e319325c1e2d95db8373929dee53b452a62a554aeceda8879b,8e5486c38dc34bfdabb9957ec6da8ee10b8d4eacf53597d437c80139c4b41f14,21b72a5bb27dd88225b61eda6f441faa6354028240a7d8a10deda0db8b871fc6,21b72a5bb27dd88225b61eda6f441faa6354028240a7d8a10deda0db8b871fc6,preserve,0.0,127,62,1511,1289,1594,1361,1384,1227,0.9924999999999999
230,1bb1e48c23e33e7e4c954a7bf0f129a865e7bac394b8fcc034f8d5f0da24a758,3ace675584d31313fc5f190b4498dfebeb7b41ef4dd797155d91655ec0d731e6,0dd4aadeacd5af054604a5f8b3005819b2eb199d7e656cdddc2026a8d4dd92ea,0dd4aadeacd5af054604a5f8b3005819b2eb199d7e656cdddc2026a8d4dd92ea,preserve,0.0,115,72,1519,1281,1546,1361,1404,1209,0.9924999999999999
231,92d81f9c743fe5a296517b0ba8c44b70dba7b03fa7a8a71cff669723b83ee62a,29bbc8ae50825f967a6ae7af290432a7ee53ab67c36916195e94f6f18e03b541,e3539e23a6b25bc4d21f85c32c1399a0dc9592cd7cb3ea40a42c56ca24a8ef54,e3539e23a6b25bc4d21f85c32c1399a0dc9592cd7cb3ea40a42c56ca24a8ef54,preserve,0.0,155,75,1535,1280,1642,1361,1380,1205,0.9924999999999999
232,be131ab97090082bce485f8556de553a6c68e26ceef22629b1e7d4e5166a7e96,f407bd272fa607540772301bf719b088e33ae2b100114359fa8542685e88d4e9,3e3ae3e309b550653fa76ecb3556a30292b657af3d313ecc967854e31e9404e0,3e3ae3e309b550653fa76ecb3556a30292b657af3d313ecc967854e31e9404e0,preserve,0.0,152,75,1547,1295,1642,1361,1395,1220,0.9924999999999999
233,1d4ad1a51b6a94a168aa98d1dafc8a0194987eb0e5f447ceccd08bbc317a1bf2,53ca5067ef1dd6e2da7e9fb6e6748842fe40deffe95264ada1479927dc2423d2,9f69e3a18c0625cc2fb29c62d5be684c276837d46587fbadef6c6b40e3a2b0cd,9f69e3a18c0625cc2fb29c62d5be684c276837d46587fbadef6c6b40e3a2b0cd,preserve,0.0,161,71,1575,1295,1642,1361,1414,1224,0.9924999999999999
234,d794ae0a82f20aa98d2feab82a41251da2455e8ab7504adcd834a4ed57639295,3481a2231d9e5e4b16229f9ea895fd801d8360ddf996ab71bb7e0d4ac7484c25,5696d197b04784b21526f9513906e568ac5c5a36cca68f47ad6071a70bfe7390,5696d197b04784b21526f9513906e568ac5c5a36cca68f47ad6071a70bfe7390,preserve,0.0,147,81,1556,1301,1642,1361,1409,1220,0.9924999999999999
235,73fdc6c7d9f0bfd679edf07bbc9e0547a70eafff6a326bbf43907090f580af2f,828e45238468392aae01477cceb1d827b9098387fd1fec62207b987f57c37b88,ab950a6a8be0337bbea17d47e62bdbc286e35719df07fb72cf8cce2b9d7951e6,ab950a6a8be0337bbea17d47e62bdbc286e35719df07fb72cf8cce2b9d7951e6,preserve,0.0,164,79,1564,1298,1642,1361,1400,1219,0.9924999999999999
236,d4ed9a0b66df443567906ddc5e6cf4285ab5961da73663a57842790269b84baf,6beb9f37a2934dc0d4024f2d990f5b93aca2ad3de3c99e6327d0aaac7a94b019,d5cfdc0ce2d1e21bd8b2fa54f47e018feaa2dd40473d063090220fe22b74cb45,d5cfdc0ce2d1e21bd8b2fa54f47e018feaa2dd40473d063090220fe22b74cb45,preserve,0.0,167,86,1570,1298,1642,1361,1403,1212,0.9924999999999999
237,5010bca14c80d3f22db7db9a9422630896a76d9a804248a375fa6027e9d7dd1d,cbdf91fdd84a1bb16d3e88c1d0c64f3051cbd604dcc17314447ad9354d1c553b,0c18bace5570ec6d37b84c3da92deeca0660fcb2400878a390d1b59a7b91ec7c,0c18bace5570ec6d37b84c3da92deeca0660fcb2400878a390d1b59a7b91ec7c,preserve,0.0,138,83,1527,1296,1594,1361,1389,1213,0.9924999999999999
238,aaf3eececb5b1cc7e13b8d407a3cb00be80e8ae3af28a42592ebdba4a49db790,6f4e4c535ae4230a00e2880344229c93f81bea34ed27e811eab42359d2f06a19,78db78f9a6f62558ad3f6ac8fa4bf5c1020f67338d063b1277943ccb198d7387,78db78f9a6f62558ad3f6ac8fa4bf5c1020f67338d063b1277943ccb198d7387,preserve,0.0,132,86,1520,1294,1546,1361,1388,1208,0.9924999999999999
239,c5c5fe36f554ef0bb02ad0d75bb303d60e0dcdcf6d692d371de498a5bfdc7c8e,0506848dd61f91cc9a81d02b95d4c2e93f95d98047fc3e34a25351872019cc56,ac5ac98e4814d24d5ba9d77626ad1985c1ad53ce23f7ee442ec781af86afb6a1,ac5ac98e4814d24d5ba9d77626ad1985c1ad53ce23f7ee442ec781af86afb6a1,preserve,0.0,126,82,1521,1304,1546,1361,1395,1222,0.9924999999999999
240,2f70d7d64d9db9fcff0c6947464aa82fcb554f259068b9f8dc68d9b8aecd6b12,005601200c07858d5307e65ccf3fdefb0a37ad3b2129460b6d133579418dafd5,ffafe1bafe30d0172b3f2097a6cdc6cd710c6dd285632615de43b46d06e5864c,ffafe1bafe30d0172b3f2097a6cdc6cd710c6dd285632615de43b46d06e5864c,preserve,0.0,151,75,1552,1305,1594,1361,1401,1230,0.9924999999999999
241,b282d1f3603b24b04ed5057e4c4f517b2d5138c1f35a1da366c291daa72db2d7,34030c6bae656b705becfe2220f054a6e9ce2514c430edd0648b59f7de71f24e,57d5b9bd9e09c92ff51e3cc69497a0f57402babe52a29e2b7f25e18f32e310f4,57d5b9bd9e09c92ff51e3cc69497a0f57402babe52a29e2b7f25e18f32e310f4,preserve,0.0,108,74,1510,1301,1546,1361,1402,1227,1.0
242,9815aa374add47636d20f178bb0eb3bab47438b525801d8b0eb18d78df34ad17,f56e4911257f9d3ba2812e4180e20a6745eceaae5572326e147ab4b92e91daf4,54fe44c11e9d1346bc03eb5777c9bef0902f0c0bc3bb66d5f66df86cab741ca3,54fe44c11e9d1346bc03eb5777c9bef0902f0c0bc3bb66d5f66df86cab741ca3,preserve,0.0,137,78,1514,1293,1546,1361,1377,1215,0.9924999999999999
243,5986b051cbbe4138de3ce0776b1819e2577d1d12b66e4d51eacca69911686e35,c707bbeb475080ba24d898674f0350d8c9382c96fb158c150250c92b25fe1c3f,0768a3ae78089311ad5921662777beafb2ee7a1bd498cc9a0e282343e91158b6,0768a3ae78089311ad5921662777beafb2ee7a1bd498cc9a0e282343e91158b6,preserve,0.0,135,78,1516,1294,1546,1361,1381,1216,1.0
244,da65be609f1c34400aa8bf02910ee66a73f6fb9c0466bcac0a9db966ac624003,7d7921aac8118a797a766ea0538db57f65ab08945ee4815eac564bc45733283b,64cc27f768f5f68589c6709c51439d357e13ae6d9f5bf0c8dff0e3fdaf4836e9,64cc27f768f5f68589c6709c51439d357e13ae6d9f5bf0c8dff0e3fdaf4836e9,preserve,0.0,119,72,1504,1294,1546,1361,1385,1222,0.9924999999999999
245,6e43a5a302867d70da34ba6bab4fbf8350c1790e55b7072b69029050a544b2da,fbb79b960dac28a12fd64096d8dabe3b42890f109ec8b1ca9d4e9f4f73c761eb,158b49c6bcf49b0c9f2cbf10b3626a1f2b00637babbdf9e3943dba2babaeba3c,158b49c6bcf49b0c9f2cbf10b3626a1f2b00637babbdf9e3943dba2babaeba3c,preserve,0.0,123,77,1505,1305,1521,1361,1382,1228,1.0
246,bcdbe4ecb1278050418c801cbbebda7544406764d4129c0dba1d9b5973855fb5,9af08dfef504c43fa8a7673a9331d6df60d6b74757fbc0adac5d574d7b5c1300,73426387e716f65cb885797c4f2152050c7e1b786f5a3083e55ab7dda1a13edd,73426387e716f65cb885797c4f2152050c7e1b786f5a3083e55ab7dda1a13edd,preserve,0.0,137,77,1518,1296,1642,1361,1381,1219,0.9924999999999999
247,7e9e86347b0d1f425f4062108095ce6cac725f4672e00e38defea4349d15e1a2,28b5991c5fe1bc06b173420149ef17daf47f5d8b0327cf3dbe7e2af9b478563c,6d788f96314dbfb0e7aae71b29fe4dc65400b5aa50dd949bd53521f7b0c65ca2,6d788f96314dbfb0e7aae71b29fe4dc65400b5aa50dd949bd53521f7b0c65ca2,preserve,0.0,150,73,1520,1278,1642,1361,1370,1205,0.9924999999999999
248,10419696c22d211c61fd97f27b483615802784564c7e50edb9c0c9d97dcfe19c,a7dddfe5d60f465ab4927a32fe6976b2dd4b4399fb1ca9b615525e69425622b9,e787d37250755437bc00c35f83250c5a66ad433d2c1d40cfd2cb46cf406d9c86,e787d37250755437bc00c35f83250c5a66ad433d2c1d40cfd2cb46cf406d9c86,preserve,0.0,127,79,1505,1295,1607,1361,1378,1216,0.9924999999999999
249,beb8e50738efd4407a3d7f799d8399954f22332ddf4f33f2aea9458cb45b2a6d,9a990491658721bddd9df3cf9a172e5ace3845354310941df7d91703026476db,fd14d796d23ee45eb2b4c0de7e4e306b60b9772367dc6f0259223660a0e14c1b,fd14d796d23ee45eb2b4c0de7e4e306b60b9772367dc6f0259223660a0e14c1b,preserve,0.0,118,83,1495,1301,1594,1361,1377,1218,0.9924999999999999
250,e671a832ad9eb9a497957c9c8ad4a4ef5a309c3b2029ffdec5876f1f3d0b979d,377ed78e4f5ea4c5b68f2d0d29152aff12d8bbfeccd217db059358d6ab388b6f,f73b66a130f0bce20ba03e0089f88912f1efb7a7f7c8f99fb09b98e4ce1aa9f8,f73b66a130f0bce20ba03e0089f88912f1efb7a7f7c8f99fb09b98e4ce1aa9f8,preserve,0.0,112,79,1497,1298,1594,1361,1385,1219,0.9924999999999999
251,d5ebbb010ceb3ec24cec30b1c2eccc34177e8ea6aad6328af260cab08bb941c7,4257f49bebedd73d77b85ebad86bcc5e08152321bedbee4b0a048f8a9a38ab5e,1eb89d2ca4933867392a33cbcf80d756b13bdf11b27cad2deee499a09122d692,1eb89d2ca4933867392a33cbcf80d756b13bdf11b27cad2deee499a09122d692,preserve,0.0,151,66,1541,1289,1642,1361,1390,1223,0.9924999999999999
252,06e768dec43e9a4200439ca1be1b981c34a69f6541fada33b227c3d029471f05,8100cf79c83f09ede8f5a9eb7c6653320f19cd75e41b9d8ff1fcfda6c0c20982,29d8445987337936c0fa4b3e468dee5d69c18a03d1ce616501905a578eb766ae,29d8445987337936c0fa4b3e468dee5d69c18a03d1ce616501905a578eb766ae,preserve,0.0,161,68,1560,1292,1690,1361,1399,1224,0.9924999999999999
253,19926c67687d18b801b055a8539f5f59801df9bcc9f21a5a920c78ecbeae7934,ce53d8e68462940228382c5de089d1a611c0c2dbc11d0eb2048775154afe536f,3af074da12414c33975b1447e82334955e383e0e302d8837374fddc9cb64a88f,3af074da12414c33975b1447e82334955e383e0e302d8837374fddc9cb64a88f,preserve,0.0,130,75,1520,1293,1642,1361,1390,1218,0.9924999999999999
254,a854586c5f81c9cae0c133e3104c8807a75370a6b9dc43d5e5436440d37fad83,298f5e0e810454d0ff1550d90dbc8c1d9ed8c2310c16611fb8d9e1142e358197,3fca39cc367e09869b1b5d6bf40aab0c21fcce265dd9e2ea190aeef7d4000a63,3fca39cc367e09869b1b5d6bf40aab0c21fcce265dd9e2ea190aeef7d4000a63,preserve,0.0,130,72,1533,1302,1642,1361,1403,1230,0.9924999999999999
255,8a3d01141e84789c5208780b4100eeb6239376f1fff703c3a4368ffd223702ab,60f2cf5deb5e0956bcf1247d7a79beb39aa2335f5dbfa3184bfd83486626779a,4bd73e135695d7d0683f8d0040859508aa420f488a6f81255b899e6a36d2890b,4bd73e135695d7d0683f8d0040859508aa420f488a6f81255b899e6a36d2890b,preserve,0.0,133,69,1530,1287,1642,1361,1397,1218,0.9924999999999999
256,dde88e9e3cadc458a5780fe8baa59c7b9619e2ed9dd2c153425c4ec21e31e331,d0d72e4a479d379312c8247c9d146108dc9128420b19d0df1d61cb499e2cfce6,deb2b1649b161089cb9bd0c7ef2b4de1852f2b175c926367254e5740c61ca10a,deb2b1649b161089cb9bd0c7ef2b4de1852f2b175c926367254e5740c61ca10a,preserve,0.0,123,70,1528,1298,1594,1361,1405,1228,1.0
257,e863e0b88c5c069b2abaf745c454573d020504f51f65a3f22f6a8314bbc95daa,7cd996b32a21171501181c69c0325a07a8fd749cab61ac5e4c1ec7bed03d8234,25749dc76e05b3fe8f9492dddda43afb26f5882e105c28c9f5464a33859b7400,25749dc76e05b3fe8f9492dddda43afb26f5882e105c28c9f5464a33859b7400,preserve,0.0,129,70,1527,1295,1609,1361,1398,1225,1.0
258,7ef8ec12655e26ad21d71728d49c55fbf69523a5b260cd7e77a6be6a6bd3a71b,f85b9edff7bcb7b7280f971342be484dbad45fc8f5318e03138b6d92938f5731,349fb10af64fd29e6ddb7d4d99008d7a24d2a3397f5559057c597b7572bd6578,349fb10af64fd29e6ddb7d4d99008d7a24d2a3397f5559057c597b7572bd6578,preserve,0.0,155,80,1551,1306,1642,1361,1396,1226,0.9924999999999999
259,232ed1d609928432c567356e5d0231ea92408d626c081add25913583ff0632ea,04cb8de4e4464aa042c920f1f53bdc504043a0bfd1cf888975888098d14f2fcc,15a52a3378b2025eb61069d84268a6891cb754bf3df270f00b8b7fa5798c607a,15a52a3378b2025eb61069d84268a6891cb754bf3df270f00b8b7fa5798c607a,preserve,0.0,116,77,1504,1299,1594,1361,1388,1222,0.9924999999999999
260,28b8a69b37fe221ec02d8b4c8b2a03cd593a1f416ff1cc310125caa16595e7e0,6e5e6cad1429d808f566d8500fb295286e29f03e9c8ea1ab1df9e846b714c6ad,8988e722193e1985c983c68e34fd901f876aa2e25d5a3b43c605122fd888e086,8988e722193e1985c983c68e34fd901f876aa2e25d5a3b43c605122fd888e086,preserve,0.0,173,80,1555,1291,1690,1361,1382,1211,0.9924999999999999
261,5fadfa39377476fe69997dabe3e2be641a519843f6e4373b4dde2053b447937b,ed05baffe187bc759c60a5ea6e03c381a155348ac9bae9a5a99228606c1e1ec8,673090f8c6c356862439ce20bd9190bf06d53eb3af308a4fe5422d08e2e7f824,673090f8c6c356862439ce20bd9190bf06d53eb3af308a4fe5422d08e2e7f824,preserve,0.0,137,78,1515,1281,1594,1361,1378,1203,0.9924999999999999
262,70a4a1abc6fa46d3861f2bf9e7496f7995bded877121c51fb350c47ccd94f1f5,c0610727a786947a614d073dbf9e63db6f979d4c21d8f676bba38fb3d1fe0f5d,2770346aedf6ab76740bd4cb1f516d2dd9a1a0cb1a1c0475d85888cf41e99265,2770346aedf6ab76740bd4cb1f516d2dd9a1a0cb1a1c0475d85888cf41e99265,preserve,0.0,142,77,1511,1281,1594,1361,1369,1204,0.9924999999999999
263,947d342e10074ab8ee7838488920eba9c427edc49361f27333e4c09758e1b20a,55642d301542190946f5d19a979d4f5b9d3d640feb6390e8112546991f3c8db2,4434d2e683858770c4ae9abc98d18419f8724ca70af6e87f76b8bd66be78776c,4434d2e683858770c4ae9abc98d18419f8724ca70af6e87f76b8bd66be78776c,preserve,0.0,121,75,1501,1285,1594,1361,1380,1210,0.9924999999999999
264,a7a5c3c54a92f14902921dfe4243eaacddfdc65ab0799056735107085ecc9e70,994ebb51700758d5d56a6079d72c2a1d022fdf7820ae89cac3cb8b72dc5de313,f6e0ab270c3422dbebb5a15421c356edbf5c6f7f5c880016213431905895bf85,f6e0ab270c3422dbebb5a15421c356edbf5c6f7f5c880016213431905895bf85,preserve,0.0,121,68,1507,1287,1594,1361,1386,1219,0.9924999999999999
265,9fcaaad06a50c16dbed1a86f3be9d6d727a042d79531698a64369a25e38b175c,840f4187fb67af5b70f3e2481279f4aee3b4bf9879dabb48682f961f52e0c536,c2969df73d5fb735680f9661ede773986c65750e0b20c7b87f5e8fd53cffa52d,c2969df73d5fb735680f9661ede773986c65750e0b20c7b87f5e8fd53cffa52d,preserve,0.0,123,70,1509,1281,1594,1361,1386,1211,0.9924999999999999
266,a7d5553078bfde9594fd25cebb864c6e5980da3ada435c449dcc1988ec9e8ed7,358636c9278e43e6864d197de5c1cdd8c62ecda0fc5105be6f0b9de5fdd7f841,18a9f827fac88307149cc020a8e4d73392101067451f525bfb3abbf625dab20a,18a9f827fac88307149cc020a8e4d73392101067451f525bfb3abbf625dab20a,preserve,0.0,167,64,1560,1289,1690,1361,1393,1225,0.9924999999999999
267,229dac479f3e2bf23aca88e4040893e8317b96420134f776df21c1a1d135e73b,914c49f007afc073c7e5fd871ca966fcab30aa5edf3b1ac0e9ff0f4404ee2dee,6563056d0c46768484f3d50b832ef1d9ccf3224f6be8ca84576cbb353993175e,6563056d0c46768484f3d50b832ef1d9ccf3224f6be8ca84576cbb353993175e,preserve,0.0,171,64,1569,1289,1690,1361,1398,1225,0.9924999999999999
268,a778480308a7bd8a33abb51fe0d0735c4f95199de9b00799370a704d7564ffc3,8b5588c4c24a1f511d9cf7474de8b45c38a8ef8ca6863387baf60cfb9fffad45,8e64def563d0c977c2db724319087304c589714f11fdc4f06abb12f256544700,8e64def563d0c977c2db724319087304c589714f11fdc4f06abb12f256544700,preserve,0.0,180,70,1569,1299,1690,1361,1389,1229,0.9924999999999999
269,c16c4fe8a7443673b77b0b6066a5e5e03465cf37f32befc0d5aa4ee6c2a4e9e5,4b38449a3d18d7d8fbbe45125b5d3451e0e9ea8008b0069177f32bd22c3f9376,70b57745e01633377b9d278293569ff3d1b756150c024c2ca1cba8ffc8bf2224,70b57745e01633377b9d278293569ff3d1b756150c024c2ca1cba8ffc8bf2224,preserve,0.0,182,60,1569,1289,1690,1361,1387,1229,0.9924999999999999
270,6855468d9104c86f4bf1270e3dd907afaba3ea4209207914d610663bdc42d7f2,326a497244949383285309c1eb4e651875d798c9cef6a35600044451c2cac5ee,ae81507cb1e35180b1188da41cb9020027ef2a5f5e6d5c595bbe0d5da20195fc,ae81507cb1e35180b1188da41cb9020027ef2a5f5e6d5c595bbe0d5da20195fc,preserve,0.0,136,64,1517,1285,1594,1361,1381,1221,0.9924999999999999
271,861270ddb688004200db44869c2dd9034b8db17876b38bae0047391bbcdf5210,9ea1447444fffea89321216e12c2c7a6e169b4484c3ca4a4203ada12669d9682,5f2cdff71ff1e91a4e8f62371c7b5535ae23b15a984fd9bff959935bcfae0454,5f2cdff71ff1e91a4e8f62371c7b5535ae23b15a984fd9bff959935bcfae0454,preserve,0.0,136,64,1519,1292,1594,1361,1383,1228,0.9924999999999999
272,603b815a472b1d4a60386df255a637a7d47398461a63fecab70a98527b646b84,505fb329e7e2461d31466b698ea4fb4f9a77ff75fbb649e060dceb7264022c9b,1576db9042434ebec7f4bcba89996dead9cd79a6d883fb705c6a50111782c0f2,1576db9042434ebec7f4bcba89996dead9cd79a6d883fb705c6a50111782c0f2,preserve,0.0,146,63,1527,1290,1594,1361,1381,1227,0.9924999999999999
273,a238b1bd56b33af7bdb95b3e101a3d7a3fd095ad847aa654c5f2514ca6208d48,9a7f45bfdad0f8e5a3da97f5db7f261e9ed2a23305e62c147c40f3a9917a23b0,965f01cd024cf393fc5baf25d68ee0f36d3ef0c89e87cbbc2eb8ced4f716f7df,965f01cd024cf393fc5baf25d68ee0f36d3ef0c89e87cbbc2eb8ced4f716f7df,preserve,0.0,150,64,1536,1297,1642,1361,1386,1233,0.9924999999999999
274,a748bb31d5327cfefe78080b79e75470c1677c909a1ec68f7a89d1ae74c853e7,1898c58057dcfdad10ac08c917be781b19ff3d8fd6548124d4cbeaa5d937a841,f35d40ae2faff3a37621f5b4605ea79427ef8c2148b55e3f1df7584e4e58d3dc,f35d40ae2faff3a37621f5b4605ea79427ef8c2148b55e3f1df7584e4e58d3dc,preserve,0.0,149,69,1519,1284,1594,1361,1370,1215,0.9924999999999999
275,8d75f1475f603331d12c84b2c240d33ef3c196bd2e95b98d804207e91914bbc4,813f7a53065d6330af7985d3fe53df2e10921acaa719cbbda9097b93ce599f03,57211b1c5f2414eb1a429b7843a5086b8ca3f83e98ad41bd60abf0efe16bbe41,57211b1c5f2414eb1a429b7843a5086b8ca3f83e98ad41bd60abf0efe16bbe41,preserve,0.0,154,67,1520,1287,1594,1361,1366,1220,0.9924999999999999
276,735ea1f05df9fe58649072b9585e4fa93cd4d2c17d1a0a2f7037d020361e9c61,51fb775508f8049a5f63b3635e8337cfd4b0926822750d0ac7bf08593b9b105f,6071f60f3553ed273b827451a0234c227c9d79935eed1a67f3567bb15b123266,6071f60f3553ed273b827451a0234c227c9d79935eed1a67f3567bb15b123266,preserve,0.0,126,78,1498,1295,1594,1361,1372,1217,0.9924999999999999
277,dbbc190b9f8f570e6397c0d8564ee5c28ae024db23ed9527a7144ddfdce68fc1,f1200ec0395aca733caf990e4f7aa3d904d90367e5fe66e5148c74946b0448a9,396e88830b1c58e59c419f49cf16417019fc59c24eb02c18a15bed0a1e965ea4,396e88830b1c58e59c419f49cf16417019fc59c24eb02c18a15bed0a1e965ea4,preserve,0.0,145,83,1502,1271,1594,1361,1357,1188,0.9924999999999999
278,7e1f93d1021b83ccce0927760ac6505c4f2557d1ff0beb8ef1e44c0e3a1fed61,d310aad1c2334cc3e9c7bf7d1f6ddd561f383ac26bbbec537230444ca82e29d8,57e6e9d3f58b8cea8d19a82e81abc9cf415d70f23b83909d446d4722a2338ec4,57e6e9d3f58b8cea8d19a82e81abc9cf415d70f23b83909d446d4722a2338ec4,preserve,0.0,123,81,1505,1284,1594,1361,1382,1203,0.9924999999999999
279,347fd7a8eabac0836ebddd0bdb157f332fd8698ba9a620d4d31182e1eebfd00a,e50c7d6086db4364681315bc0b284f439b644d4fdf2df45e5a092cb9a25b45c7,417a6735abe66d4a7d8c25f3bda643e117250fbdd437d552e57689159e8bfd9f,417a6735abe66d4a7d8c25f3bda643e117250fbdd437d552e57689159e8bfd9f,preserve,0.0,120,73,1516,1287,1594,1361,1396,1214,0.9924999999999999
280,0156abb48f089fe75656b9ec3c2286db5f9ee2500edb84c829810dc84fa112ea,084dd1037f2a6f2d0aea029a9e542e76a3ea203ee6a1076978ab05f522400080,fb3fc969074b7986a318d163317256e21adc12255fc553345311d7ceb17bf0ee,fb3fc969074b7986a318d163317256e21adc12255fc553345311d7ceb17bf0ee,preserve,0.0,121,76,1511,1285,1594,1361,1390,1209,0.9924999999999999
281,992990c2b7493854a8b3ccda6ae9fc96f7e1693b1d615d653837ac0c12fea446,2c485ea7ee88f753f3d6020486f3974a1181747a2d674afc37540ebf35a4ec63,d21c4c7d05ccf82ccdf45d66e1b5ee13b6d8bc77c965c62d903fd71c400b12dd,d21c4c7d05ccf82ccdf45d66e1b5ee13b6d8bc77c965c62d903fd71c400b12dd,preserve,0.0,121,70,1513,1285,1594,1361,1392,1215,0.9924999999999999
282,fdae59d1979732af35ce6d02e5488f5869b125f6e42f3c1271d172f88d1452b6,4c6e96d69b80685fadbb6f924a77e05ee6debe89e23b68dec724a69317d75809,3e06344706a32e37799c44aba7b8c0c95e42095048661906d1eb18b0702453c5,3e06344706a32e37799c44aba7b8c0c95e42095048661906d1eb18b0702453c5,preserve,0.0,119,68,1517,1292,1594,1361,1398,1224,1.0
283,0aec83b76b0c2cf7468085228b5f04ec8144f48980e093971e8f2d0088835c25,029f0404384ebbdcc2c8cb16f040cc797fea94d89a1585f8d2fa4046b7566749,3854fe9670ba92c0ff198387745fadff0110e9111baa7bf7078a8c41d970c707,3854fe9670ba92c0ff198387745fadff0110e9111baa7bf7078a8c41d970c707,preserve,0.0,132,66,1524,1290,1594,1361,1392,1224,1.0
