global_ordinal,source_docx,source_ordinal,extracted_file,sha256,source_repository,source_commit,pipeline_repository,pipeline_commit,width_px,height_px,analysis_scale,exif_orientation_applied,estimated_orientation_degrees,estimated_skew_degrees,skew_confidence,content_left_px,content_top_px,content_right_px,content_bottom_px,content_width_px,content_height_px,margin_left_px,margin_top_px,margin_right_px,margin_bottom_px,brightness_mean,contrast_stddev,dynamic_range_p05_p95,sharpness_score,entropy_bits,dark_pixel_fraction,light_pixel_fraction,background_uniformity_score,bleed_through_proxy,content_fraction,border_contact,likely_blank,likely_low_contrast,likely_blurry,likely_overexposed,likely_underexposed,quality_score,quality_status,review_reasons,analysis_error
71,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,71,raw/fs_0071.png,b2b2d72b0f4d335ad55fae2afbfb6e8ee477cac4e29d6db59c87ee46f82aeebc,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,97f1cf5b91e0e0dd5bf338e324cbb7b967a9e5f1,1690,1361,1.0,False,0,-0.25,0.0,70,84,1646,1294,1576,1210,70,84,44,67,169.973,40.766,131.0,2292.45,6.4503,0.05667,1e-06,0.0,0.594,0.829081,False,False,False,False,False,False,0.882,pass,,
72,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,72,raw/fs_0072.png,fc2ac7d88342925a8512b00dead2feb8d0d54d25dc4801cd8f5f69ec479d8e45,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,97f1cf5b91e0e0dd5bf338e324cbb7b967a9e5f1,1690,1361,1.0,False,0,-0.25,0.0,78,87,1647,1291,1569,1204,78,87,43,70,158.448,53.192,184.0,4138.99,6.7574,0.116346,8e-06,0.017,0.688,0.821305,False,False,False,False,False,False,0.927,pass,,
73,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,73,raw/fs_0073.png,54051289bdeeb58ab20d4e6e5513110b339a9ff76a0ca5805f8df925c981f69c,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,97f1cf5b91e0e0dd5bf338e324cbb7b967a9e5f1,1738,1361,1.0,False,0,0.25,0.002,96,78,1689,1300,1593,1222,96,78,49,61,158.263,53.483,188.0,3880.639,6.7779,0.11582,5e-06,0.0,0.644,0.822961,False,False,False,False,False,False,0.928,pass,,
74,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,74,raw/fs_0074.png,e7ac8b99757b6cb083eb65ee71cdead2e75ecee3e0e461f842ec41a2db1e552f,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,97f1cf5b91e0e0dd5bf338e324cbb7b967a9e5f1,1786,1361,1.0,False,0,-0.25,0.004,0,0,0,0,0,0,0,0,1786,1361,141.852,69.254,201.0,2713.976,6.4928,0.203844,0.0,0.515,0.635,0.0,False,False,False,False,False,False,0.757,review,very_small_content_region,
75,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,75,raw/fs_0075.png,9f3afadb423db805642f0767ab5dd9706afa2d71d6551eec353f4cf7e38d41f7,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,97f1cf5b91e0e0dd5bf338e324cbb7b967a9e5f1,1786,1361,1.0,False,0,0.25,0.004,64,49,1718,1319,1654,1270,64,49,68,42,166.744,44.747,157.0,1990.718,6.4674,0.072917,0.0,0.0,0.604,0.864171,False,False,False,False,False,False,0.897,pass,,
76,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,76,raw/fs_0076.png,86a63af1123eba51c4dde8544a830eb428cbc532afa52c8d9616cc3f6f770719,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,97f1cf5b91e0e0dd5bf338e324cbb7b967a9e5f1,1786,1361,1.0,False,0,-0.25,0.001,0,0,0,0,0,0,0,0,1786,1361,154.216,64.09,205.0,3543.013,6.6425,0.162094,0.0,0.0,0.625,0.0,False,False,False,False,False,False,0.775,review,very_small_content_region,
77,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,77,raw/fs_0077.png,b255827afe949e25b7766b524e9c8a25846133bd310335daf38385e0856f4cd1,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,97f1cf5b91e0e0dd5bf338e324cbb7b967a9e5f1,1642,1361,1.0,False,0,0.25,0.018,0,0,0,0,0,0,0,0,1642,1361,138.5,78.696,205.0,2557.391,6.1229,0.253307,3e-06,0.585,0.549,0.0,False,False,False,False,False,False,0.752,review,very_small_content_region,
78,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,78,raw/fs_0078.png,86e4e80b8c24424aef01131ba78e623ca23f19f4f804bafbfcb506131184f823,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,97f1cf5b91e0e0dd5bf338e324cbb7b967a9e5f1,1786,1361,1.0,False,0,0.25,0.02,170,48,1723,1301,1553,1253,170,48,63,60,169.44,52.818,191.0,2951.967,6.4217,0.096762,4e-06,0.0,0.623,0.80054,False,False,False,False,False,False,0.941,pass,,
79,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,79,raw/fs_0079.png,04b6b79ecfc08ce9b006301e6d4b533e03fa5f232dc1d04eee1911899b54d520,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,97f1cf5b91e0e0dd5bf338e324cbb7b967a9e5f1,1786,1361,1.0,False,0,0.25,0.001,0,0,0,0,0,0,0,0,1786,1361,166.072,55.268,204.0,2608.001,6.4283,0.102449,0.0,0.0,0.606,0.0,False,False,False,False,False,False,0.769,review,very_small_content_region,
80,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,80,raw/fs_0080.png,8f9adb581ab74a50d30d966a5efafe833d911d1604f70c376dacab47df74d4e8,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,97f1cf5b91e0e0dd5bf338e324cbb7b967a9e5f1,1642,1361,1.0,False,0,-0.25,0.009,49,72,1594,1259,1545,1187,49,72,48,102,172.697,42.936,145.0,3179.226,6.4133,0.063746,1e-06,0.0,0.634,0.820631,False,False,False,False,False,False,0.897,pass,,
81,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,81,raw/fs_0081.png,47402d0679bf90d35e6647a0d20402efb3bddad3c173e242de846870502a841c,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,97f1cf5b91e0e0dd5bf338e324cbb7b967a9e5f1,1786,1361,1.0,False,0,0.25,0.0,933,55,1730,1316,797,1261,933,55,56,45,175.716,39.253,127.0,2456.527,6.2483,0.051838,0.0,0.262,0.661,0.41346,False,False,False,False,False,False,0.883,pass,,
82,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,82,raw/fs_0082.png,4a36104756d1c0592f9bbb28d5ef3d07b6a1d7f6d314b60d550cb3ac2dd36ea2,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,97f1cf5b91e0e0dd5bf338e324cbb7b967a9e5f1,1690,1361,1.0,False,0,0.25,0.01,866,70,1621,1281,755,1211,866,70,69,80,182.234,33.491,102.0,2148.91,6.0444,0.032114,1e-06,0.411,0.625,0.397508,False,False,False,False,False,False,0.863,pass,,
83,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,83,raw/fs_0083.png,ee2ab9c3e63da481f4329fb869e37919695014b5c8c0c5ab53a5350f884a191c,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,97f1cf5b91e0e0dd5bf338e324cbb7b967a9e5f1,1786,1361,1.0,False,0,-0.25,0.0,0,0,0,0,0,0,0,0,1786,1361,152.184,65.738,202.0,2457.686,6.3713,0.166763,0.0,0.221,0.615,0.0,False,False,False,False,False,False,0.772,review,very_small_content_region,
84,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,84,raw/fs_0084.png,46b2259f1aae1413a155024bb92e81a8e845f3bdb4f43bb7bad15a82e090f6a4,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,97f1cf5b91e0e0dd5bf338e324cbb7b967a9e5f1,1786,1361,1.0,False,0,-0.25,0.0,0,0,0,0,0,0,0,0,1786,1361,152.418,58.173,197.0,3655.851,6.6171,0.142726,0.0,0.0,0.685,0.0,False,False,False,False,False,False,0.763,review,very_small_content_region,
85,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,85,raw/fs_0085.png,98b0473a1675b952bc649603f9b5b318d2dafe3f36578d9f8609b2725024ec62,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,97f1cf5b91e0e0dd5bf338e324cbb7b967a9e5f1,1786,1361,1.0,False,0,0.25,0.003,0,0,0,0,0,0,0,0,1786,1361,150.647,66.162,203.0,2636.041,6.454,0.170463,4e-06,0.334,0.64,0.0,False,False,False,False,False,False,0.77,review,very_small_content_region,
86,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,86,raw/fs_0086.png,e87e6b18e9ed67a44f0251bfff66b50ecd111e5d68b88470449135c1233ec7ee,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,97f1cf5b91e0e0dd5bf338e324cbb7b967a9e5f1,1786,1361,1.0,False,0,0.25,0.008,79,64,1739,1316,1660,1252,79,64,47,45,167.031,49.686,174.0,2833.283,6.595,0.088984,1.1e-05,0.0,0.64,0.855013,False,False,False,False,False,False,0.922,pass,,
87,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,87,raw/fs_0087.png,6911be8d4e3f016988856445d78052c838a2e526a1e6520891002173d502db13,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,97f1cf5b91e0e0dd5bf338e324cbb7b967a9e5f1,1786,1361,1.0,False,0,-0.25,0.001,0,0,0,0,0,0,0,0,1786,1361,155.82,62.219,204.0,2698.361,6.5668,0.143672,0.0,0.0,0.634,0.0,False,False,False,False,False,False,0.777,review,very_small_content_region,
88,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,88,raw/fs_0088.png,d1ad566dcf97a2e468e5b58a12fe064b9994c96cd6b1c14afdfd2aa35d4a24e6,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,97f1cf5b91e0e0dd5bf338e324cbb7b967a9e5f1,1738,1361,1.0,False,0,-0.25,0.006,135,75,1692,1283,1557,1208,135,75,46,78,172.142,40.683,131.0,2729.653,6.5466,0.053629,2e-06,0.177,0.638,0.795147,False,False,False,False,False,False,0.885,pass,,
89,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,89,raw/fs_0089.png,07cf869dda57713e73e132aa55b54f0c20cbc3d080b74b608d91d93a7bc72f24,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,97f1cf5b91e0e0dd5bf338e324cbb7b967a9e5f1,1738,1361,1.0,False,0,0.25,0.04,914,86,1689,1302,775,1216,914,86,49,59,173.868,46.366,158.0,3633.488,6.3548,0.074226,8e-06,0.021,0.623,0.398407,False,False,False,False,False,False,0.916,pass,,
