global_ordinal,source_docx,source_ordinal,relationship_id,media_path,extracted_file,detected_format,width_px,height_px,mode,bytes,sha256,duplicate_group,analysis_file,thumbnail_file,source_repository,source_commit,pipeline_repository,pipeline_commit,manuscript_left_page,manuscript_right_page,date_begin,date_end,record_begin,record_end,year_or_transition,hand_or_priest_notes,condition_notes,content_qc_status,confidence,research_notes
240,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,240,rId244,word/media/image240.png,raw/fs_0240.png,PNG,1786,1361,RGB,2055776,ed0fd98bb16d600036215441962785642188bbf8d1ec8313ee36202e9f730d2a,,analysis/fs_0240_analysis.png,thumbnails/fs_0240.jpg,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,61efff529fb7330a92f8d423c40c45bc60bb841c,,,,,,,,,,not_reviewed,,
241,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,241,rId245,word/media/image241.png,raw/fs_0241.png,PNG,1786,1361,RGB,1997570,2dd136b675979875d4e82cd5b636b515b8b280b2d00a40cc805e49bc28b2298d,,analysis/fs_0241_analysis.png,thumbnails/fs_0241.jpg,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,61efff529fb7330a92f8d423c40c45bc60bb841c,,,,,,,,,,not_reviewed,,
242,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,242,rId246,word/media/image242.png,raw/fs_0242.png,PNG,1786,1361,RGB,2003668,21c8f0d08a68e7d5ac321d749bdc816944f5f09f8823aafb67215f89330bb557,,analysis/fs_0242_analysis.png,thumbnails/fs_0242.jpg,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,61efff529fb7330a92f8d423c40c45bc60bb841c,,,,,,,,,,not_reviewed,,
243,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,243,rId247,word/media/image243.png,raw/fs_0243.png,PNG,1786,1361,RGB,2045330,537d9b164fe16919adeb608f6af6083923e0eea709dc5ddca61493426ed580d4,,analysis/fs_0243_analysis.png,thumbnails/fs_0243.jpg,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,61efff529fb7330a92f8d423c40c45bc60bb841c,,,,,,,,,,not_reviewed,,
244,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,244,rId248,word/media/image244.png,raw/fs_0244.png,PNG,1786,1361,RGB,1999366,7a4e72b46c420c742a456318a9c63c3c6991111ee2bfcb49b9afcd26a4e8eec1,,analysis/fs_0244_analysis.png,thumbnails/fs_0244.jpg,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,61efff529fb7330a92f8d423c40c45bc60bb841c,,,,,,,,,,not_reviewed,,
245,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,245,rId249,word/media/image245.png,raw/fs_0245.png,PNG,1786,1361,RGB,1942513,02817544390d54d7f72515ee9152cee0aa929b465738a933dcdc9280a0255e70,,analysis/fs_0245_analysis.png,thumbnails/fs_0245.jpg,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,61efff529fb7330a92f8d423c40c45bc60bb841c,,,,,,,,,,not_reviewed,,
246,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,246,rId250,word/media/image246.png,raw/fs_0246.png,PNG,1786,1361,RGB,2085992,3f5f2fcdf10e61da54fe126395d4deff90e0c0348b2d04e20795f9b3f6f7d873,,analysis/fs_0246_analysis.png,thumbnails/fs_0246.jpg,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,61efff529fb7330a92f8d423c40c45bc60bb841c,,,,,,,,,,not_reviewed,,
247,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,247,rId251,word/media/image247.png,raw/fs_0247.png,PNG,1786,1361,RGB,2060539,9dac717f391dcd44d5d4fdf6b95b06fa343cb626b82887708cfe0bf1b9147ca1,,analysis/fs_0247_analysis.png,thumbnails/fs_0247.jpg,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,61efff529fb7330a92f8d423c40c45bc60bb841c,,,,,,,,,,not_reviewed,,
248,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,248,rId252,word/media/image248.png,raw/fs_0248.png,PNG,1786,1361,RGB,2075864,52e00c6af1cb78651c210d40b0ee7aee0b9880df61f511eab1f72b7ebe2935d6,,analysis/fs_0248_analysis.png,thumbnails/fs_0248.jpg,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,61efff529fb7330a92f8d423c40c45bc60bb841c,,,,,,,,,,not_reviewed,,
249,Baptisms_San_Antonio_Baptism_Records_1788-1824_1858-1898.docx,249,rId253,word/media/image249.png,raw/fs_0249.png,PNG,1786,1361,RGB,2055457,47dd86c2f16f03da0226c4dcc08e9f4cab820bb6b357b8525444a1af22894112,,analysis/fs_0249_analysis.png,thumbnails/fs_0249.jpg,dlstupka/hth-baptisms-san-antonio-1788-1824--1858-1898,61efff529fb7330a92f8d423c40c45bc60bb841c,dlstupka/hth,61efff529fb7330a92f8d423c40c45bc60bb841c,,,,,,,,,,not_reviewed,,
