global_ordinal,route,pipeline_action,decision_before,input_pixel_sha256,output_pixel_sha256,output_sha256,output_width,output_height
20,preserve,preserve-and-continue,correction-candidate,f524ed61a7fb1ab2bb0ec66c591c21ed97c2238ed9e4c491d995c54bd4ff196a,f524ed61a7fb1ab2bb0ec66c591c21ed97c2238ed9e4c491d995c54bd4ff196a,c352ca78b43ac6ed3c72d4d79e92a0ef16a8a84cf9307060f659c2807807f884,1648,1310
21,preserve,preserve-and-continue,correction-candidate,3151bcbb2346a8aa1d738a4c10ab9096ac2044522dcba95b7d09ebd4349529bc,3151bcbb2346a8aa1d738a4c10ab9096ac2044522dcba95b7d09ebd4349529bc,7dd8c9496ba2ac614eba616f0148292680904abf3c1ed66b679eebde538b6895,1690,1300
22,preserve,preserve-and-continue,correction-candidate,be0a323a24cb6e284f4417fa14a623485fa5b777477d5ffab56d13665fd6e2ac,be0a323a24cb6e284f4417fa14a623485fa5b777477d5ffab56d13665fd6e2ac,6996f50dec2bae8701341fe8b1998a2b3b4020f14b3d415672a7cdcf72a2c67a,1611,1238
23,preserve,preserve-and-continue,correction-candidate,b61f58b88d440a997fd833f1a210354bfb431ebbfd6c20a4846b5932718ec2fe,b61f58b88d440a997fd833f1a210354bfb431ebbfd6c20a4846b5932718ec2fe,7d4ee39e8f74a6347279b01a5b7c09176088d5ef70d47dda983eb044e7b0fd6e,1662,1273
24,preserve,preserve-and-continue,correction-candidate,a98f4ddbba47a0951c06124af77027c76869d5b1a9acde806a7beb477043ba85,a98f4ddbba47a0951c06124af77027c76869d5b1a9acde806a7beb477043ba85,4a37fe992b3028fbcd5a14c4fe0419b679cff1b04e69ef7a3d2fc0d9a4c337c4,1635,1257
25,preserve,preserve-and-continue,correction-candidate,8bd2310823135a2e143507adb3aad415e9d8b75adbe062933bc104a8d945f713,8bd2310823135a2e143507adb3aad415e9d8b75adbe062933bc104a8d945f713,2bab3615db35172ea32eda06b938c44ef96ac5589d8a101455da666274316d1c,1578,1210
26,preserve,preserve-and-continue,correction-candidate,dd857e59d77011239632f9786273bf284693102d6c2f48b0568e764f3b652fa0,dd857e59d77011239632f9786273bf284693102d6c2f48b0568e764f3b652fa0,13e9c5e78b4c86574b4c402812ccb1c7fd64926f17590b3312c35b873f1780c3,1601,1229
27,preserve,preserve-and-continue,correction-candidate,60b255f804af3246c9325cfb2521cc3414a60760f978054ceb9ff29a861b9a14,60b255f804af3246c9325cfb2521cc3414a60760f978054ceb9ff29a861b9a14,445b3b5ebc978e44c87e844f29b47ebc1c1d13b199993c35391dccb10d409d12,1643,1259
28,preserve,preserve-and-continue,correction-candidate,b4d57a636b4c719156a2558972c668020b538b10cf052c64197e13363fafe9ce,b4d57a636b4c719156a2558972c668020b538b10cf052c64197e13363fafe9ce,72626244874bcffc4a633eb1c54acfbdfa169b804b8a1e8022055aa0e8cb5d65,1634,1259
29,preserve,preserve-and-continue,correction-candidate,eaad8c14fb8c8a17f8c3246823d7e6c95f2970118b69756a7620f5817d487f97,eaad8c14fb8c8a17f8c3246823d7e6c95f2970118b69756a7620f5817d487f97,574a1cec1027d5d323d4b4677b02b3cc5c532a28c4586e74643c9db609fdd011,1714,1339
30,preserve,preserve-and-continue,correction-candidate,c9889617c1b2e9b3b3f522ef57046ca3cc4c8c606fec2ef5de738b3e48ed6289,c9889617c1b2e9b3b3f522ef57046ca3cc4c8c606fec2ef5de738b3e48ed6289,dcb3386ee2e23b096fc70c6c2a28d2b33a8c8e33de58780d9c6d1bdd2e1aff4e,1607,1241
31,preserve,preserve-and-continue,correction-candidate,e0e8faf6113a1d7db6e1d5af051f39a6680475de76d94433ce613677f80c98dc,e0e8faf6113a1d7db6e1d5af051f39a6680475de76d94433ce613677f80c98dc,7b1230fd190e54e43c970298f3619cbcbdea41124e28207200128f10a52137f8,1646,1279
